college,academic_year,term,course_code,section,course_name,instructor,time,url,category
The University of the South,2023-24,S,CSCI 428,A,Operating Systems,S Carl,MWF 1300-1350; J. Albert Woods Laboratories 136,https://registrar.sewanee.edu/schedule/?term=easter&school=college-of-arts-sciences-2&subject=computer-science&track=,Operating systems
The University of the South,2024-25,F,CSCI 157,A,Introduction to Modeling and Programming,R Sowell,MWF 1200-1250; J. Albert Woods Laboratories 136,https://registrar.sewanee.edu/schedule/?term=advent-2&school=college-of-arts-sciences-2&subject=computer-science&track=,Core
The University of the South,2024-25,F,CSCI 157,B,Introduction to Modeling and Programming,D Drinen,MW 1400-1515; J. Albert Woods Laboratories 136,https://registrar.sewanee.edu/schedule/?term=advent-2&school=college-of-arts-sciences-2&subject=computer-science&track=,Core
The University of the South,2024-25,F,CSCI 157,L1,Introduction to Modeling and Programming,R Sowell,T 1330-1445; J. Albert Woods Laboratories 136,https://registrar.sewanee.edu/schedule/?term=advent-2&school=college-of-arts-sciences-2&subject=computer-science&track=,Core
The University of the South,2024-25,F,CSCI 157,L2,Introduction to Modeling and Programming,D Drinen,R 1330-1445; J. Albert Woods Laboratories 136,https://registrar.sewanee.edu/schedule/?term=advent-2&school=college-of-arts-sciences-2&subject=computer-science&track=,Core
The University of the South,2024-25,F,CSCI 270,A,Computer Systems and Organization,S Carl,MWF 1100-1150; J. Albert Woods Laboratories 136,https://registrar.sewanee.edu/schedule/?term=advent-2&school=college-of-arts-sciences-2&subject=computer-science&track=,Computer architecture
The University of the South,2024-25,F,CSCI 290,A,Data Mining,M Rudd,MWF 1300-1350; J. Albert Woods Laboratories 136,https://registrar.sewanee.edu/schedule/?term=advent-2&school=college-of-arts-sciences-2&subject=computer-science&track=,Data science
The University of the South,2024-25,F,CSCI 320,A,Data Structures and Algorithms,R Sowell,MWF 1000-1050; J. Albert Woods Laboratories 134,https://registrar.sewanee.edu/schedule/?term=advent-2&school=college-of-arts-sciences-2&subject=computer-science&track=,Core
The University of the South,2024-25,F,CSCI 326,A,Functional Programming,S Carl,TR 1100-1215; J. Albert Woods Laboratories 136,https://registrar.sewanee.edu/schedule/?term=advent-2&school=college-of-arts-sciences-2&subject=computer-science&track=,Programming languages
The University of the South,2024-25,S,CSCI 157,A,Introduction to Modeling and Programming,S Hopkins,MWF 0800-0850; J. Albert Woods Laboratories 136,https://registrar.sewanee.edu/schedule/?term=easter-2&school=college-of-arts-sciences-2&subject=computer-science&track=,Core
The University of the South,2024-25,S,CSCI 157,B,Introduction to Modeling and Programming,S Carl,MWF 1000-1050; J. Albert Woods Laboratories 136,https://registrar.sewanee.edu/schedule/?term=easter-2&school=college-of-arts-sciences-2&subject=computer-science&track=,Core
The University of the South,2024-25,S,CSCI 157,L1,Introduction to Modeling and Programming,S Hopkins,T 1330-1445; J. Albert Woods Laboratories 136,https://registrar.sewanee.edu/schedule/?term=easter-2&school=college-of-arts-sciences-2&subject=computer-science&track=,Core
The University of the South,2024-25,S,CSCI 157,L2,Introduction to Modeling and Programming,S Carl,R 1330-1445; J. Albert Woods Laboratories 136,https://registrar.sewanee.edu/schedule/?term=easter-2&school=college-of-arts-sciences-2&subject=computer-science&track=,Core
The University of the South,2024-25,S,CSCI 257,A,Object-Oriented Programming,R Sowell,MWF 0900-0950; J. Albert Woods Laboratories 134,https://registrar.sewanee.edu/schedule/?term=easter-2&school=college-of-arts-sciences-2&subject=computer-science&track=,Core
The University of the South,2024-25,S,CSCI 284,A,Database Design with Web Applications,S Carl,TR 1100-1215; J. Albert Woods Laboratories 136,https://registrar.sewanee.edu/schedule/?term=easter-2&school=college-of-arts-sciences-2&subject=computer-science&track=,Databases
The University of the South,2024-25,S,CSCI 352,A,Human-Robot Interaction,R Sowell,TR 0930-1045; J. Albert Woods Laboratories 134,https://registrar.sewanee.edu/schedule/?term=easter-2&school=college-of-arts-sciences-2&subject=computer-science&track=,Robotics
The University of the South,2024-25,S,CSCI 356,A,Artificial Intelligence,S Carl,MW 1400-1515; J. Albert Woods Laboratories 136,https://registrar.sewanee.edu/schedule/?term=easter-2&school=college-of-arts-sciences-2&subject=computer-science&track=,Artificial intelligence
The University of the South,2025-26,F,CSCI 157,A,Introduction to Modeling and Programming,S Hopkins,MWF 1300-1350; J. Albert Woods Laboratories 136,https://registrar.sewanee.edu/schedule/?term=advent-3&school=college-of-arts-sciences-2&subject=computer-science&track=,Core
The University of the South,2025-26,F,CSCI 157,B,Introduction to Modeling and Programming,M Rudd,MW 1530-1645; J. Albert Woods Laboratories 136,https://registrar.sewanee.edu/schedule/?term=advent-3&school=college-of-arts-sciences-2&subject=computer-science&track=,Core
The University of the South,2025-26,F,CSCI 157,L1,Introduction to Modeling and Programming,S Hopkins,R 1330-1445; J. Albert Woods Laboratories 136,https://registrar.sewanee.edu/schedule/?term=advent-3&school=college-of-arts-sciences-2&subject=computer-science&track=,Core
The University of the South,2025-26,F,CSCI 157,L2,Introduction to Modeling and Programming,M Rudd,T 1330-1445; J. Albert Woods Laboratories 136,https://registrar.sewanee.edu/schedule/?term=advent-3&school=college-of-arts-sciences-2&subject=computer-science&track=,Core
The University of the South,2025-26,F,CSCI 257,A,Object-Oriented Programming,R Sowell,MWF 0900-0950; J. Albert Woods Laboratories 136,https://registrar.sewanee.edu/schedule/?term=advent-3&school=college-of-arts-sciences-2&subject=computer-science&track=,Core
The University of the South,2025-26,F,CSCI 270,A,Computer Systems and Organization,S Carl,TR 1100-1215; J. Albert Woods Laboratories 136,https://registrar.sewanee.edu/schedule/?term=advent-3&school=college-of-arts-sciences-2&subject=computer-science&track=,Computer architecture
The University of the South,2025-26,F,CSCI 276,A,Multimedia Programming and Design,S Carl,MW 1400-1515; J. Albert Woods Laboratories 136,https://registrar.sewanee.edu/schedule/?term=advent-3&school=college-of-arts-sciences-2&subject=computer-science&track=,Games & interactive art
The University of the South,2025-26,F,CSCI 290,A,Data Mining,M Rudd,MWF 1200-1250; J. Albert Woods Laboratories 136,https://registrar.sewanee.edu/schedule/?term=advent-3&school=college-of-arts-sciences-2&subject=computer-science&track=,Data science
The University of the South,2025-26,F,CSCI 457,A,Software Engineering,R Sowell,TR 0930-1045; J. Albert Woods Laboratories 136,https://registrar.sewanee.edu/schedule/?term=advent-3&school=college-of-arts-sciences-2&subject=computer-science&track=,Software engineering
The University of the South,2025-26,S,CSCI 157,A,Introduction to Modeling and Programming,M Rudd,TR 1100-1215; J. Albert Woods Laboratories 134,https://registrar.sewanee.edu/schedule/?term=easter-3&school=college-of-arts-sciences-2&subject=computer-science&track=,Core
The University of the South,2025-26,S,CSCI 157,L1,Introduction to Modeling and Programming,M Rudd,T 1330-1445; J. Albert Woods Laboratories 134,https://registrar.sewanee.edu/schedule/?term=easter-3&school=college-of-arts-sciences-2&subject=computer-science&track=,Core
The University of the South,2025-26,S,CSCI 284,A,Database Design with Web Applications,S Carl,TR 1100-1215; J. Albert Woods Laboratories 136,https://registrar.sewanee.edu/schedule/?term=easter-3&school=college-of-arts-sciences-2&subject=computer-science&track=,Databases
The University of the South,2025-26,S,CSCI 320,A,Data Structures and Algorithms,S Carl,MWF 0900-0950; J. Albert Woods Laboratories 136,https://registrar.sewanee.edu/schedule/?term=easter-3&school=college-of-arts-sciences-2&subject=computer-science&track=,Core
The University of the South,2025-26,S,CSCI 360,A,Principles of Interactive Computer Graphics,R Sowell,TR 0930-1045; J. Albert Woods Laboratories 134,https://registrar.sewanee.edu/schedule/?term=easter-3&school=college-of-arts-sciences-2&subject=computer-science&track=,Computer graphics
The University of the South,2025-26,S,CSCI 428,A,Operating Systems,S Carl,MWF 1000-1050; J. Albert Woods Laboratories 136,https://registrar.sewanee.edu/schedule/?term=easter-3&school=college-of-arts-sciences-2&subject=computer-science&track=,Operating systems
The University of the South,2026-27,F,CSCI 157,B,Introduction to Modeling and Programming,M Rudd,TR 1330-1445; TBA,https://registrar.sewanee.edu/schedule/?term=advent-4&school=college-of-arts-sciences-2&subject=computer-science&track=,Core
The University of the South,2026-27,F,CSCI 157,L2,Introduction to Modeling and Programming,M Rudd,W 1400-1515; TBA,https://registrar.sewanee.edu/schedule/?term=advent-4&school=college-of-arts-sciences-2&subject=computer-science&track=,Core
The University of the South,2026-27,F,CSCI 257,A,Object-Oriented Programming,S Carl,MW 1400-1515; TBA,https://registrar.sewanee.edu/schedule/?term=advent-4&school=college-of-arts-sciences-2&subject=computer-science&track=,Core
The University of the South,2026-27,F,CSCI 270,A,Computer Systems and Organization,S Carl,TR 1100-1215; TBA,https://registrar.sewanee.edu/schedule/?term=advent-4&school=college-of-arts-sciences-2&subject=computer-science&track=,Computer architecture
The University of the South,2026-27,F,CSCI 290,A,Data Mining,S Carl,TR 0930-1045; TBA,https://registrar.sewanee.edu/schedule/?term=advent-4&school=college-of-arts-sciences-2&subject=computer-science&track=,Data science
The University of the South,2026-27,F,CSCI 457,A,Software Engineering,R Sowell,TR 1500-1615; TBA,https://registrar.sewanee.edu/schedule/?term=advent-4&school=college-of-arts-sciences-2&subject=computer-science&track=,Software engineering
The University of the South,2026-27,F,CSCI 460,A,Senior Capstone,M Rudd,W 1530-1645; TBA,https://registrar.sewanee.edu/schedule/?term=advent-4&school=college-of-arts-sciences-2&subject=computer-science&track=,Misc
